,Error,Error,Error,Distance,Distance,Distance,Coverage,Coverage,Coverage
,Mean,Upper,Lower,Mean,Upper,Lower,Mean,Upper,Lower
1,14.99,17.638157855682614,12.338054664954003,34.47,35.077135377779506,33.86897695206488,0.98,1.0,0.941194692918209
3,8.96,10.95579418078192,6.97330576682336,19.94,20.169674511437872,19.705755131280267,0.92,0.9951972564929183,0.8448027435070817
5,4.72,5.777207632510644,3.6719479398255235,15.34,15.445991370105647,15.233536703259348,0.98,1.0,0.941194692918209
7,4.31,5.228345762429926,3.3897577812390587,12.95,13.035181014821674,12.866493870738335,1.0,1.0,1.0
9,5.23,6.315323679965829,4.144061799722815,11.41,11.494508187120786,11.319668611058706,0.92,0.9951972564929183,0.8448027435070817
11,3.55,4.356792776257158,2.7446306900788238,10.4,10.454741167237612,10.341368582206956,0.98,1.0,0.941194692918209
13,3.73,4.6156649690935305,2.841027038444401,9.53,9.571061537429527,9.482608950493814,0.94,1.0,0.8741732155597511
15,4.23,5.124293742282221,3.335411955257973,8.91,8.962661596670726,8.86544610902945,0.94,1.0,0.8741732155597511
17,3.36,4.200252042861372,2.526472555229723,8.35,8.395511420862908,8.312409859526577,0.92,0.9951972564929183,0.8448027435070817
19,2.81,3.4925228651864964,2.1295245837168255,7.88,7.915574425333389,7.851159241741042,0.98,1.0,0.941194692918209
21,2.66,3.230561787636754,2.0833636927588017,7.49,7.522018045802425,7.461666112687728,0.98,1.0,0.941194692918209
