alpha_demand,alpha_wind,error
0.0,0.0,0.14
0.0,0.111,0.05
0.0,0.222,0.1
0.0,0.333,-0.11
0.0,0.444,-0.1
0.0,0.555,-0.22
0.0,0.666,0.09
0.0,0.777,-0.61
0.0,0.888,0.15
0.0,0.999,-0.17
0.111,0.0,0.4
0.111,0.111,0.49
0.111,0.222,1.23
0.111,0.333,1.96
0.111,0.444,3.31
0.111,0.555,3.52
0.111,0.666,4.08
0.111,0.777,5.3
0.111,0.888,5.0
0.111,0.999,6.57
0.222,0.0,0.26
0.222,0.111,1.32
0.222,0.222,2.38
0.222,0.333,3.49
0.222,0.444,5.33
0.222,0.555,7.54
0.222,0.666,8.88
0.222,0.777,10.58
0.222,0.888,11.64
0.222,0.999,13.14
0.333,0.0,0.77
0.333,0.111,1.98
0.333,0.222,4.02
0.333,0.333,6.51
0.333,0.444,8.79
0.333,0.555,11.18
0.333,0.666,14.43
0.333,0.777,15.9
0.333,0.888,18.0
0.333,0.999,20.26
0.444,0.0,1.2
0.444,0.111,3.33
0.444,0.222,6.19
0.444,0.333,9.07
0.444,0.444,12.67
0.444,0.555,15.76
0.444,0.666,18.69
0.444,0.777,22.41
0.444,0.888,25.9
0.444,0.999,28.11
0.555,0.0,1.8
0.555,0.111,4.75
0.555,0.222,8.75
0.555,0.333,12.93
0.555,0.444,16.5
0.555,0.555,21.17
0.555,0.666,25.2
0.555,0.777,28.78
0.555,0.888,33.98
0.555,0.999,36.53
0.666,0.0,3.28
0.666,0.111,8.1
0.666,0.222,12.75
0.666,0.333,17.62
0.666,0.444,23.42
0.666,0.555,28.38
0.666,0.666,32.34
0.666,0.777,37.96
0.666,0.888,42.63
0.666,0.999,47.11
0.777,0.0,5.96
0.777,0.111,12.27
0.777,0.222,18.11
0.777,0.333,24.55
0.777,0.444,30.94
0.777,0.555,37.4
0.777,0.666,42.96
0.777,0.777,49.64
0.777,0.888,55.4
0.777,0.999,59.93
0.888,0.0,10.61
0.888,0.111,18.86
0.888,0.222,27.41
0.888,0.333,35.16
0.888,0.444,43.31
0.888,0.555,49.94
0.888,0.666,57.63
0.888,0.777,64.48
0.888,0.888,71.39
0.888,0.999,76.55
0.999,0.0,22.32
0.999,0.111,34.38
0.999,0.222,44.92
0.999,0.333,54.09
0.999,0.444,63.09
0.999,0.555,71.52
0.999,0.666,78.92
0.999,0.777,86.28
0.999,0.888,93.43
0.999,0.999,99.8
